Time (s),A-output,B-output
0.990000,0.006892,0.002666
0.995000,0.008438,-0.014151
1.000000,0.014190,-0.022685
1.005000,0.018477,-0.022308
1.010000,0.015008,-0.016391
1.015000,0.018867,-0.009871
1.020000,0.019825,-0.013597
1.025000,0.018632,-0.011033
1.030000,0.018171,-0.000807
1.035000,0.015733,0.002792
1.040000,0.014189,0.003893
1.045000,0.010824,0.003101
1.050000,0.011721,-0.002749
1.055000,0.009748,-0.007046
1.060000,0.005755,-0.008298
1.065000,0.003193,-0.008249
1.070000,-0.000552,-0.004492
1.075000,0.004358,0.007268
1.080000,0.003194,0.015021
1.085000,-0.003633,0.016451
1.090000,-0.001358,0.015004
1.095000,-0.012570,0.001735
1.100000,-0.018152,-0.010238
1.105000,-0.016086,-0.009196
1.110000,-0.016052,0.001368
1.115000,-0.008551,0.006521
1.120000,-0.014251,0.004331
1.125000,-0.018677,-0.004025
1.130000,-0.020296,-0.011279
1.135000,-0.011875,-0.006372
1.140000,-0.002826,0.001843
1.145000,-0.013874,0.007512
1.150000,-0.015445,0.000462
1.155000,-0.016505,-0.011291
1.160000,-0.012065,-0.001706
1.165000,-0.000896,0.009315
1.170000,-0.005026,0.010196
1.175000,0.000243,0.005242
1.180000,0.003766,-0.007675
1.185000,0.005447,-0.017332
1.190000,0.013139,-0.019051
1.195000,0.019265,-0.008264
1.200000,0.020532,-0.001702
1.205000,0.014116,-0.003106
1.210000,0.014662,-0.008371
1.215000,0.011015,-0.019063
1.220000,0.018498,-0.021287
1.225000,0.027013,-0.017798
1.230000,0.022269,-0.012269
1.235000,0.023141,-0.012330
1.240000,0.013006,-0.016113
1.245000,0.012680,-0.015390
1.250000,0.014059,-0.015381
1.255000,0.005962,-0.010056
1.260000,0.009958,-0.001851
1.265000,0.007026,-0.002341
1.270000,0.009693,-0.011820
1.275000,0.010214,-0.014582
1.280000,0.007438,0.004602
1.285000,0.008661,0.016601
1.290000,-0.006652,0.015254
1.295000,-0.008968,0.014153
1.300000,-0.009587,0.004426
1.305000,-0.010879,0.005643
1.310000,-0.004667,0.018337
1.315000,-0.012478,0.020431
1.320000,-0.012573,0.007723
1.325000,-0.011075,-0.001795
1.330000,-0.010222,0.014893
1.335000,-0.006761,0.031748
1.340000,-0.015868,0.027527
1.345000,-0.018179,0.015019
1.350000,-0.021545,-0.000018
1.355000,-0.020974,0.003663
1.360000,-0.013820,0.015927
1.365000,-0.016975,0.011944
1.370000,-0.010207,0.003019
1.375000,-0.004981,0.000613
1.380000,-0.003467,0.012332
1.385000,0.000116,0.018248
1.390000,-0.006256,0.009494
1.395000,-0.000816,0.013821
1.400000,0.003363,0.017776
1.405000,-0.009190,0.014031
1.410000,-0.010234,0.015426
1.415000,-0.009678,0.013248
1.420000,-0.005126,0.022434
1.425000,0.004350,0.023807
1.430000,-0.006606,0.009721
1.435000,0.000302,0.015678
1.440000,0.012906,0.024427
1.445000,-0.000163,0.019821
1.450000,0.002017,0.015632
1.455000,0.003038,0.014688
1.460000,-0.007997,0.018478
1.465000,-0.004681,0.021084
1.470000,-0.005832,0.014724
1.475000,-0.004474,0.017786
1.480000,0.004796,0.017244
1.485000,-0.004613,0.008771
1.490000,-0.001778,0.020234
1.495000,0.006374,0.022738
1.500000,-0.010218,0.012518
1.505000,-0.008829,0.020124
1.510000,-0.001974,0.019003
1.515000,-0.016568,0.008938
1.520000,-0.015202,0.021434
1.525000,-0.011188,0.025856
1.530000,-0.022540,0.015937
1.535000,-0.018771,0.019939
1.540000,-0.012082,0.015624
1.545000,-0.019362,0.005039
1.550000,-0.021327,0.012349
1.555000,-0.022282,0.026331
1.560000,-0.026141,0.032505
1.565000,-0.024370,0.029338
1.570000,-0.016338,0.037791
1.575000,-0.011000,0.039146
1.580000,-0.021034,0.020436
1.585000,-0.016376,0.021917
1.590000,-0.005115,0.024852
1.595000,-0.016106,0.012223
1.600000,-0.014696,0.009938
1.605000,-0.001773,0.020005
1.610000,-0.000769,0.013038
1.615000,-0.007958,-0.003722
1.620000,0.002617,0.000651
1.625000,0.015451,0.004085
1.630000,0.006828,-0.009789
1.635000,0.002693,-0.017490
1.640000,0.011489,-0.010179
1.645000,0.016406,-0.007388
1.650000,0.009224,-0.021403
1.655000,0.002744,-0.029903
1.660000,0.013437,0.006118
1.665000,0.025039,0.050265
1.670000,0.005360,0.070908
1.675000,-0.007151,0.076807
1.680000,0.000817,0.067636
1.685000,0.009949,0.062061
1.690000,0.018577,0.055255
1.695000,0.008123,0.033978
1.700000,-0.003536,0.022401
1.705000,-0.005914,0.023349
1.710000,-0.011108,0.023879
1.715000,-0.017148,0.019789
1.720000,-0.030943,0.014031
1.725000,-0.031671,0.011202
1.730000,-0.015836,0.015425
1.735000,-0.012449,0.017606
1.740000,-0.029561,0.002983
1.745000,-0.038969,-0.004426
1.750000,-0.024503,0.003582
1.755000,-0.017862,0.012068
1.760000,-0.032952,0.014389
1.765000,-0.050644,0.007050
1.770000,-0.046909,0.007671
1.775000,-0.032724,0.007480
1.780000,-0.035405,-0.004442
1.785000,-0.040371,-0.008743
1.790000,-0.032108,0.001568
1.795000,-0.018383,0.012407
1.800000,-0.017734,0.019732
1.805000,-0.025593,0.024948
1.810000,-0.027338,0.028446
1.815000,-0.016774,0.033517
1.820000,-0.006867,0.034321
1.825000,-0.005687,0.029678
1.830000,-0.001356,0.028426
1.835000,0.009477,0.038983
1.840000,0.014713,0.034514
1.845000,0.006068,0.011033
1.850000,0.011078,0.009008
1.855000,0.023067,0.018841
1.860000,0.016685,0.008310
1.865000,0.013186,-0.010443
1.870000,0.021977,-0.007801
1.875000,0.032185,0.005237
